"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Error Handling in Schedule API","Validate 404 Error and Error Object Properties with mock data","0","0","1","0","0"
"","API Schedule Validation","Verify 'Date' Header in API Response with mock data","0","0","1","0","0"
"","API Schedule Validation","Validate Transmission Start and End Date Consistency with live data","0","0","1","0","0"
"","API Schedule Validation","Validate Transmission Start and End Date Consistency with mock data","0","0","1","0","0"
"","API Schedule Validation","Validate Response Status Code and Performance with live data","0","0","1","0","0"
"","API Schedule Validation","Check Single Live Episode in the Schedule with mock data","0","0","1","0","0"
"","Error Handling in Schedule API","Validate 404 Error and Error Object Properties with live data","0","0","1","0","0"
"","API Schedule Validation","Verify Non-Empty 'Title' Field in Episode Schedule with live data","0","0","1","0","0"
"","API Schedule Validation","Validate Response Status Code and Performance with mock data","0","0","1","0","0"
"","API Schedule Validation","Ensure Non-Null 'id' and Correct 'type' in Episode Data with mock data","0","0","1","0","0"
"","API Schedule Validation","Check Single Live Episode in the Schedule with live data","0","0","1","0","0"
"","API Schedule Validation","Verify 'Date' Header in API Response with live data","0","0","1","0","0"
"","API Schedule Validation","Ensure Non-Null 'id' and Correct 'type' in Episode Data with live data","0","0","1","0","0"
"","API Schedule Validation","Verify Non-Empty 'Title' Field in Episode Schedule with mock data","0","0","1","0","0"
